page_id,tech_title
21017,microcontroller
21125,usenet newsgroup
21139,north america
21274,nickel
21275,niobium
21496,nucleic acid
21664,nebula
21865,neurotransmitter
21930,northern blot
21933,neutron activation analysis
22111,nuvistor
22131,natural gas
22190,organic electronics
22303,oxygen
22393,organelle
22591,oracle corporation
22691,orthogonal frequency-division multiplexing
22934,probability
23000,polynomial
23015,programming language
23036,printer (publishing)
23205,physical constant
23219,ploidy
23304,personal digital assistant
23312,penicillin
23318,phosphorus
23319,palladium
23471,polytope
23604,photography
23619,pressure
23643,propane
23647,polymerase chain reaction
23665,pixel
23716,programmer
23781,photoresist
23824,postgresql
23862,python (programming language)
23863,pyridine
23891,particle radiation
23974,plasmid
24077,pdf
24116,peer review
24130,energy storage
24188,parimutuel betting
24222,public-key cryptography
24281,powerpc
24420,punched card
24458,polyvinyl chloride
24485,priority queue
24521,pico (text editor)
24697,product liability
24739,piperidine
24951,playstation 3
24975,piezoelectricity
25065,parameter
25202,quantum mechanics
25233,quartz
25274,quantum information
25284,qubit
25336,quantum entanglement
25423,rock music
25599,rubidium
25603,rhenium
25676,radar
25715,rail transport
25717,regular expression
25727,reference work
25742,raster graphics
25754,resistor
25758,rna
25784,renewable energy
25856,radiation
25989,rgb color model
26072,red hat linux
26123,real-time operating system
26194,restriction enzyme
26195,rna virus
26285,restriction fragment length polymorphism
26301,rocket
26350,radiation therapy
26397,redâblack tree
26487,roulette
26590,relay
26838,shotgun
26884,superconductivity
27059,stainless steel
27114,silicon
27127,sulfur
27188,snare drum
27567,shareware
27576,statistical model
27577,statistical inference
27593,independence (probability theory)
27696,semiconductor device fabrication
27751,svg
27752,spectroscopy
27764,systems engineering
27837,superoxide dismutase
28184,sound card
28207,sms
28209,shot put
28238,space shuttle discovery
28284,switch
28448,speech processing
28502,scuba set
28506,spacecraft propulsion
28692,sabermetrics
28733,steganography
28751,superluminal communication
28758,spacetime
28811,static program analysis
28814,secure shell
28951,spyware
28957,southern blot
29122,signals intelligence
29123,semantic web
29181,spherical coordinate system
29247,sulfuric acid
29294,ibm system/360
29420,solar sail
29438,sonar
29468,speech recognition
29469,sapphire
29580,set-top box
29648,single-lens reflex camera
29950,tile-based game
29965,tensor
30040,titanium
30045,terbium
30078,thyroid
30367,trigonometric functions
30403,turing machine
30426,total internal reflection
30598,train
30699,toluene
30722,theremin
30725,thin client
30869,tesla turbine
30906,transformer
30990,thermocouple
30992,thermistor
31036,triode
31109,tape drive
31175,tobin tax
31250,time-division multiple access
31383,osmotic pressure
31744,ungulate
31929,user datagram protocol
31990,ultraviolet
32073,usb
32167,ubiquitin
32399,video game developer
32410,vehicle
32496,vacuum tube
32500,vacuum pump
32572,vesicle (biology and chemistry)
32574,vesa local bus
32624,video editing software
32629,video game console
33109,wearable computer
33143,wireless lan
33172,wireless network
33173,web browser
33236,word processor (electronic device)
33629,weak interaction
33898,website
33912,working memory
33941,windows 2000
34053,water turbine
34203,xfs
34211,xslt
34385,yeast
34420,zinc
34422,zirconium
35836,19-inch rack
36563,magnetic field
36682,linear predictive coding
36782,benford's law
36797,occam's razor
36835,auger electron spectroscopy
36980,clay
37085,software bug
37153,supercomputer
37235,society
37515,shaped charge
37694,seed
37800,dendrochronology
37838,hall-effect thruster
37872,beta particle
37910,spacecraft
38031,hazardous waste
38340,frame relay
38411,regression testing
38722,psychiatric hospital
38838,cyclic redundancy check
38893,border gateway protocol
38930,jupiter
38975,skateboarding trick
38993,optical depth
39113,tesla coil
39122,z/os
39184,ntfs
39358,open set
39406,central limit theorem
40114,escherichia coli
40224,wrigley field
40239,geosynchronous orbit
40258,harmony
40345,mosfet
40355,optimizing compiler
40367,analog-to-digital converter
40411,mnemonic
40613,logic analyzer
40614,network switch
40634,convex hull
40684,access control
40725,arithmetic shift
40760,availability
40815,brewster's angle
40847,carrier-sense multiple access with collision detection
40875,circular polarization
40883,closed captioning
40915,communications blackout
40925,communications system
40970,costas loop
40979,crystal oscillator
40982,customer-premises equipment
40995,data integrity
40996,data link
41026,dielectric
41049,direct-sequence spread spectrum
41093,electromagnetic compatibility
41144,fault management
41151,file server
41155,firmware
41193,frequency-shift keying
41210,geostationary orbit
41234,heterodyne
41278,interference filter
41350,manchester code
41389,multiplexing
41455,optical attenuator
41458,optical disc
41509,phased array
41551,phase-shift keying
41556,pin diode
41680,scrambler
41706,signal-to-noise ratio
41716,single-mode optical fiber
41812,transmission medium
41837,telecommunications link
41920,compact disc digital audio
41958,lidar
41961,data processing
42043,mkultra
42047,mastectomy
42261,irrigation
42766,climbing wall
42799,speech synthesis
42852,radio frequency
42922,comparison of java and c++
43026,endianness
43118,cilium
43513,rhodes piano
43651,spamdexing
43710,silicon dioxide
43730,linear programming
43922,clostridium botulinum
43935,micrometer (device)
43941,windows media player
43945,massage
43946,biofilm
44093,electroconvulsive therapy
44259,microsatellite
44305,pap test
44424,metamorphic rock
44565,vector graphics editor
44585,cyclotron
44708,ferroelectricity
45146,cp/m
45249,user interface
45599,surgery
45600,reedâsolomon error correction
45752,topological vector space
46150,lua (programming language)
46203,35 mm movie film
46256,telemetry
46380,coaxial cable
46630,embedded system
46890,frequency-hopping spread spectrum
47086,mac os x server
47139,incandescent light bulb
47242,amalthea (moon)
47278,cognitive bias
47300,movable type
47338,fishing reel
47488,barometer
47568,low earth orbit
47607,suspension bridge
47713,direct current
47769,transistorâtransistor logic
47772,instruction set architecture
47805,vector quantization
47880,roguelike
47902,upload
48049,autonomous robot
48180,humanoid robot
48203,article (grammar)
48339,parachute
48364,software architecture
48396,mathematical analysis
48560,tree (graph theory)
48786,polyvinylpyrrolidone
48903,nucleosynthesis
49091,optical character recognition
49338,bipolar junction transistor
49364,turner syndrome
49420,cmos
49503,inductively coupled plasma mass spectrometry
49571,bayesian inference
49681,ontology (information science)
49721,core dump
49761,punched tape
50318,symmetric multiprocessing
50595,flash memory
50597,eeprom
50609,nuclear shell model
50719,quantum harmonic oscillator
50771,ferry
51018,civil defense siren
51215,airliner
51474,seat belt
51538,category 5 cable
51567,cnidocyte
51630,pulse-amplitude modulation
51910,quantum key distribution
51940,waveplate
52035,motion compensation
52124,vhs
52571,halogen lamp
52644,cysteine
52648,camera
52675,strouhal number
52742,desktop computer
52797,digital camera
52991,pressure cooking
53036,network address translation
53042,symmetric-key algorithm
53170,submarine-launched ballistic missile
53366,reconnaissance satellite
53398,esoteric programming language
53781,relative permittivity
53887,text corpus
53892,oberkommando der wehrmacht
53948,hippocampus
54201,sodium dodecyl sulfate
54221,grand prix motorcycle racing
54232,reinforced concrete
54475,video codec
54536,citric acid
54573,cadbury
54749,chromatic aberration
54952,technical drawing
55170,genomics
55236,compton scattering
55364,mmx (instruction set)
55380,disk partitioning
55530,personal protective equipment
55557,timeline
55632,linear combination
55908,security-enhanced linux
56139,butanol
56217,poaceae
56486,high-pass filter
56654,perchloric acid
56938,institute of electrical and electronics engineers
57561,palm oil
57688,anxiety disorder
57875,soap
57980,shortwave radio
58610,non-euclidean geometry
58638,group a streptococcal infection
58673,liquid hydrogen
58880,sugar substitute
58890,resin
58903,cloud forest
58992,linear-feedback shift register
59156,dry ice
59252,marketing
59865,secure cryptoprocessor
59957,smart card
59962,discrete cosine transform
60225,mcs-51
60288,pewter
60311,rude awakening (megadeth album)
60408,hcl notes
60558,arm architecture family
60569,rectifier
60600,barcode
60871,luminescence
60876,markov chain
60951,cardamom
60980,digital visual interface
61118,load balancing (computing)
61220,spintronics
61260,filling station
61419,tokenization (data security)
61692,pc card
62392,location-based service
62437,scada
62729,sense of balance
62784,soybean
63285,jpeg 2000
63473,discrete element method
63552,amylase
63679,van
63860,picture archiving and communication system
63864,dicom
63915,static random-access memory
63973,wi-fi
64088,corn syrup
64219,bernoulli's principle
64972,angiogenesis
65063,portable executable
65309,support vector machine
65560,borax
65635,chirp
65776,metcalfe's law
65880,cassette tape
65910,printed circuit board
66181,role-based access control
66284,formic acid
66286,organic acid
66338,holography
66380,tops-20
66392,cardiopulmonary resuscitation
66554,dietary fiber
67043,thermal insulation
67168,î-galactosidase
68300,dominance (genetics)
68498,ocean thermal energy conversion
68686,raman spectroscopy
69440,edge effects
69442,waterfall
69832,saccade
69892,imi galil
69902,extreme weather
70713,topographic map
71020,ultravioletâvisible spectroscopy
71575,free-space optical communication
71734,polygraph
71925,image
72156,human population planning
72227,plywood
72750,prosthesis
73215,programmable logic device
73333,eprom
73426,iris (plant)
74235,tailplane
74836,corrective lens
74845,contact lens
75008,universal asynchronous receiver-transmitter
75022,expansion card
75127,monoplane
75485,electrical discharge machining
75625,asn.1
75885,content management system
75987,daylighting (architecture)
76084,potentiometer
76340,principal component analysis
76656,workflow
78000,tablet (pharmacy)
78029,magnetic-core memory
78442,digital elevation model
78446,doppler radar
79115,bnc connector
80150,dynamic dns
80506,twisted pair
80732,artificial cardiac pacemaker
80733,32-bit computing
80765,scart
80842,analytic continuation
81242,pulse-width modulation
81580,spider silk
81625,glutathione
81633,view camera
81648,lipoic acid
81666,pyruvic acid
81668,acetoacetic acid
81761,diesel fuel
81854,central venous catheter
82156,two-stroke engine
82245,geigerâmã¼ller tube
82454,list of united states over-the-air television networks
84228,compound bow
84563,logistic function
84777,fingerprint
84808,butylated hydroxytoluene
85747,reduced mass
87115,model car
87210,sigmoid function
87249,kola nut
87598,date palm
88572,ibook
89195,acetaldehyde
89198,alcohol dehydrogenase
89242,gene knockout
89480,flywheel
89830,seismic wave
91820,instructional design
92205,bunker
92206,magnetic circular dichroism
92336,prostaglandin
92340,multistatic radar
92389,zeolite
92981,tensegrity
93500,object linking and embedding
94419,gentoo linux
95162,elisa
95178,yâ²uv
95261,sheet music
95757,exokernel
96590,ammonium nitrate
96692,audio crossover
97025,direct3d
97039,succinic acid
97302,intel 8085
97503,heme
97733,lufthansa
97911,size-exclusion chromatography
97922,digital image processing
97929,metal matrix composite
98770,hidden markov model
99381,"united nations monitoring, verification and inspection commission"
100280,lightsaber
100290,avr microcontrollers
100374,balance sheet
100558,a* search algorithm
100563,system on a chip
101201,camunda
101352,amiga advanced graphics architecture
101812,video game publisher
102225,superh
102393,intel 4004
102519,dolomite (mineral)
102669,vaux-le-vicomte
102676,binaural recording
102796,dodger stadium
103077,turbofan
103109,outer product
103177,daguerreotype
103437,peptide nucleic acid
103533,analogy
105097,codeshare agreement
106240,aqueous solution
106256,allosteric regulation
106269,test tube
108824,unijunction transistor
109053,insulated-gate bipolar transistor
113266,joinery
113509,am broadcasting
113728,geothermal energy
117534,optical microscope
125293,copper
126706,pattern recognition
128027,operant conditioning
130312,storm
136764,ibm blue gene
140801,team
140951,fowl
142207,singular value decomposition
142258,laser diode
143129,ethylene glycol
143270,hypertransport
143320,pci express
143327,fibre channel
143357,medical ultrasound
143533,green fluorescent protein
143803,tears
143861,traffic enforcement camera
144625,graphics device interface
144854,international treaty on plant genetic resources for food and agriculture
145162,parallel computing
145329,aspect-oriented programming
145440,rare-earth element
145705,mid-atlantic ridge
146384,defibrillation
147092,cock ring
147143,video on demand
147230,golomb coding
147536,calcium oxide
147918,industrial robot
148367,dendritic cell
149644,dye-sublimation printing
149968,row and column vectors
150113,cannabis edible
151648,very large telescope
151694,tar (computing)
151713,one-instruction set computer
152038,karyotype
152106,inter-process communication
152611,cellular differentiation
152654,electrical connector
152969,eutectic system
153208,system dynamics
153221,heat exchanger
153857,skin-tight garment
153977,domain name system blocklist
154349,diabetic coma
154750,zirconium dioxide
155110,beaufort scale
155319,data acquisition
155555,image registration
155664,railway platform
156593,puppetry
156700,communication channel
156952,butanone
156998,action potential
157009,intersection (road)
157465,web hosting service
157606,glass fiber
158478,pedestrian crossing
158696,roland tr-808
158778,q-switching
159018,indianapolis 500
159298,ultralight aviation
159350,pov-ray
159441,type metal
159472,flight
159748,muscular system
159750,pectin
160260,fasm
160277,carbon fibers
160494,an/prc-77 portable transceiver
160501,ultra high frequency
160834,plain old telephone service
160851,glycogen storage disease
161005,head-related transfer function
161812,saturn corporation
161886,isabelle (proof assistant)
161995,quorum sensing
162183,ieee-488
163806,oil platform
164430,documentation
164598,radiative cooling
164612,japanese bondage
164858,command pattern
165154,application server
165232,pentium pro
165237,opteron
165304,common foreign and security policy
165760,consensus decision-making
165767,towel
166017,avocado
166428,ultra-wideband
166689,interferometry
166736,stratocumulus cloud
167079,smartphone
167166,organ transplantation
167184,rapid eye movement sleep
167191,phong reflection model
167506,echo sounding
167596,protected mode
168387,business intelligence
168435,light meter
168632,siemens
168651,high-performance liquid chromatography
169305,cognitive dissonance
170417,t cell
171001,thx
171104,chitin
171829,skid-steer loader
172111,washing machine
172336,mohair
172474,lactic acid
172809,dvd player
172811,news server
172928,bopet
173088,radio broadcasting
173186,roll-to-roll processing
173224,normal (geometry)
173272,multi-exposure hdr capture
173305,isobutane
173319,commerzbank tower
173787,imax
174080,diagonal matrix
174412,birefringence
174704,space syntax
175446,modular synthesizer
175456,mindâbody dualism
175507,emergency alert system
175641,chelation
175716,electrical element
175734,local anesthetic
175859,plasma display
176053,angle of view (photography)
176315,evoked potential
176320,virtual community
176323,adobe indesign
176752,overhead line
176883,major appliance
177117,dolly zoom
177215,photomultiplier tube
177602,outer space
177668,voronoi diagram
178282,geostationary transfer orbit
178300,intermodal container
178758,ochroma
178937,high frequency
179714,mobile workstation
180557,television advertisement
180855,kalman filter
181174,thyristor
181389,forward-looking infrared
181586,service (economics)
182208,heat treating
182655,inventory
182765,prussian blue
183324,thermodynamic activity
183340,bicycle brake
183403,learning
184570,microbotics
184588,pic microcontrollers
184726,heat transfer
185887,respiratory failure
185896,club drug
186101,complex geometry
186342,glutathione peroxidase
186919,stirling engine
187849,fitness (biology)
187884,achromatic lens
188386,lighting
188543,biofuel
188551,biodiesel
188888,neutron source
189092,rare disease
189151,sillimanite
189239,online analytical processing
189512,multi-function printer
189842,high-level programming language
189937,universally unique identifier
190837,evolutionary algorithm
191413,multiple dispatch
191606,tweeter
191752,covariance matrix
191884,headphones
191902,kerosene lamp
191933,exponential growth
191936,oil lamp
192331,vegetable oil
192455,xmpp
192740,block voting
193299,mixing console
194112,public key infrastructure
194424,single-board computer
195337,zigbee
195698,wide-angle lens
195752,flash (photography)
195952,catamaran
195967,relaxation oscillator
197002,endoscopy
197123,nexus
197732,trans-alaska pipeline system
197774,decay chain
198207,rec. 601
198584,laptop
198948,coding region
198951,cpg site
199040,chemical equation
199539,movie camera
199958,v engine
200199,remora
200201,lactic acid fermentation
200658,straight-six engine
200698,apache tomcat
201127,set (abstract data type)
201485,lithium-ion battery
201487,rechargeable battery
201718,principle of maximum entropy
201816,mean squared error
202352,sibilant
202672,spectral density
203052,orthographic projection
203221,sermon
203619,handwriting recognition
203725,feature data
204768,state-owned enterprise
205464,human microbiome
205936,emitter-coupled logic
206578,presidential system
206882,chapman stick
206948,weibull distribution
207074,beta distribution
207395,video editing
208213,jumper (computing)
208250,john the ripper
208264,parabolic antenna
208382,list (abstract data type)
208999,non-renewable resource
209050,internet information services
209874,density functional theory
209959,sodium hypochlorite
210058,grammatical modifier
210168,arthroscopy
210555,waste management
210960,recoil
211168,radio galaxy
211485,radioisotope thermoelectric generator
211724,epoxy
211941,b cell
211955,natural killer cell
212124,mie scattering
212419,mineral oil
213887,semipermeable membrane
214067,virgo cluster
214242,terpene
214948,x86 assembly language
215107,experience point
216049,adaptive optics
216189,motor oil
216191,post-consumer waste
216238,value of life
217384,gall
217662,music therapy
217735,correspondence chess
218247,advanced audio coding
219042,power supply
219268,population genetics
220632,just-in-time compilation
220681,green sulfur bacteria
220776,sturgeon
221430,bearing (mechanical)
222333,western digital
222573,voxel
222828,unit testing
223407,switched-mode power supply
223942,rootkit
224389,direct insolation
224985,built environment
225112,radio data system
226673,null hypothesis
226680,chi-squared test
227049,single-phase electric power
227130,schottky diode
227877,mode locking
227969,very large array
227982,atomic force microscopy
228047,human communication
228058,breeder reactor
228148,remote sensing
228845,connective tissue
228900,propylene glycol
229103,spot welding
229292,reference (computer science)
229436,tropospheric scatter
229703,roots blower
229914,ape
230360,windows embedded compact
230834,captcha
231288,peristaltic pump
231704,hard disk recorder
232345,butyric acid
232386,motor skill
233234,silica gel
233488,machine learning
233780,power macintosh g3
234129,zinc finger
234714,medical imaging
234921,mobile payment
235077,reverse transcription polymerase chain reaction
235248,transmissible spongiform encephalopathy
235343,potassium hydroxide
235723,shopping mall
235893,submersible pump
235896,end-face mechanical seal
235935,topoisomerase
235989,rockwell scale
236466,airborne early warning and control
236606,diaphragm pump
236648,sex work
236747,public land survey system
236918,concert
237036,advanced video coding
237055,distributed web crawling
237199,forklift
237495,information system
237536,information privacy
237746,taser
237876,deformation (engineering)
238766,c file input/output
239096,parking
239196,grocery store
239915,coconut oil
240150,hormone therapy
240561,carbonated water
240584,instrument landing system
240850,gene silencing
240904,sleeping pad
241646,cross-platform interchange
241688,submerged arc welding
241717,clinical trial
242024,bank account
242294,air traffic controller
242360,systole
242394,amplexus
242406,multimedia messaging service
242602,virtual pet
242669,traffic shaping
242674,hall effect sensor
243074,malic acid
243763,basic copper carbonate
243800,coroutine
244374,x86-64
244596,list of game & watch games
245552,gaussian function
245926,self-driving car
246289,gore-tex
246471,crab-eating macaque
247326,volcanic glass
248101,apple iigs
249171,department store
250466,generative art
250556,vacutainer
251874,flexible electronics
252277,polyether ether ketone
253492,factor analysis
254496,power mac g5
254713,agar plate
254930,band-pass filter
255275,apple iic
255954,dna microarray
256662,terminal velocity
258827,dynamic mechanical analysis
258959,phone connector (audio)
259341,operation ranch hand
262733,dynamic range compression
263317,spectrogram
263902,evanescent field
263906,escrow
264399,bitwise operation
265609,jar (file format)
265822,thermostat
265952,brain in a vat
266327,taoyuan international airport
266449,coilgun
266601,refracting telescope
266611,optical telescope
269920,xeon
270072,proximity card
270770,series and parallel circuits
271195,radio propagation
271860,petroleum jelly
273538,brachytherapy
273707,drip coffee
273959,electronic test equipment
274522,consistency model
274816,distributed control system
275651,shared-nothing architecture
275856,fantasy football (gridiron)
275872,ring modulation
276485,polariton
276504,engineered wood
276975,textured vegetable protein
277205,ludington pumped storage power plant
277702,electron diffraction
279350,electric vehicle
279663,digital piano
280990,rhinoplasty
282350,hygrometer
283810,mass spectrometry
284371,read-copy-update
284855,leslie speaker
285370,low-noise amplifier
285911,autoinjector
286775,touchpad
286802,catalytic converter
287587,hot swapping
287952,honeypot (computing)
288321,disease outbreak
288345,firebird (database server)
290563,advanced systems format
290909,huawei
291062,secchi disk
291327,p-adic analysis
291437,glow stick
292280,perforation
292744,ising model
293079,actuator
293336,ammonium chloride
293396,flat-panel display
293676,flavr savr
294185,von neumann algebra
294295,glyphosate
294419,sunscreen
294813,internet forum
295477,bowden cable
295601,dynamic positioning
295684,molybdenum disulfide
295981,docsis
297247,symbolic communication
298884,south korean won
299462,remotely operated underwater vehicle
299592,optical disc drive
299971,sedative
300295,dichloromethane
300567,hidden camera
301110,fluid replacement
301928,lumped-element model
301999,natural language generation
302013,human leukocyte antigen
302033,frequency response
302944,gaussian process
305083,telepresence
305122,peripheral vision
305224,quality assurance
305265,underwater environment
305303,multiset
305854,text messaging
305924,computational fluid dynamics
306090,educational game
306169,ethylene oxide
306516,reid technique
306799,tacacs
307315,sony mobile
308054,presentation program
308058,magnetic declination
308682,living polymerization
308756,humidor
308793,aneuploidy
309379,symbolic interactionism
309812,stanford prison experiment
310015,parsing
310782,genetic testing
311410,pregnancy test
312015,virtual pc
312399,autonomous system (internet)
312903,excavator
312995,reset button technique
313216,autodesk 3ds max
313267,neutron diffraction
313462,binary decoder
313525,ultra low floor
314437,thermography
314703,erectile tissue
315008,magnetoresistive ram
315043,monoclonal antibody
315794,sd card
315968,attitude indicator
316414,volcanic rock
316678,gated community
316824,nozzle
316993,emulsion polymerization
317018,quantization (signal processing)
317227,micelle
317465,inference
317625,image scanner
317938,lawn
317961,miniature snap-action switch
317969,reed switch
318378,crane (machine)
318439,text mining
319560,instrument amplifier
320217,electrical substation
320233,instrumentation amplifier
320320,speculum (medicine)
321113,neohesperidin dihydrochalcone
321524,twin-lead
321827,thermosetting polymer
324132,registered jack
324949,accelerometer
325496,servomechanism
326123,windows 7
326279,aerial photography
326386,ion source
326530,yaml
328850,vitreous body
329956,caboose
330341,automotive safety
331087,axis (anatomy)
331137,live cd
331512,mealy machine
332989,vegetative reproduction
333219,eulerian path
333491,primitive data type
333625,bus rapid transit
335376,rs-422
335615,adaptive communication environment
336557,blood test
337523,delphi method
338511,stearic acid
338738,detoxification
338985,business performance management
339894,histone methyltransferase
340094,estimated time of arrival
340295,ethyl carbamate
340390,freemartin
340476,serial peripheral interface
341287,smoke detector
342371,directional antenna
342372,omnidirectional antenna
342457,cellulase
342855,dynamic time warping
343023,rational clearcase
343505,wear leveling
343552,phthalates
343732,digital cable
343845,ach network
343857,lawn mower
344919,leech lattice
345286,gel permeation chromatography
346036,family radio service
346185,optical disc image
346865,basil
347027,amorphous metal
347577,international english language testing system
348300,digital video recorder
349208,delphi (software)
349771,artificial neuron
349823,royal mail
349873,server message block
350708,multimediacard
351284,dead man's switch
351899,vhf omnidirectional range
352184,tincture
352396,pf (firewall)
352711,zoom lens
352851,start-stop system
354907,percentile
355377,photonic crystal
355765,compound eye
355802,egg white
356050,lamotrigine
356382,gene regulatory network
356777,role-playing video game
357147,portable hyperbaric bag
357854,crampons
358477,random graph
359193,internet exchange point
361245,torque wrench
361384,liquefied petroleum gas
362025,active noise control
363213,british aerospace 146
363423,interval graph
365092,neodymium magnet
366663,body language
369526,single-wire earth return
369646,automatic vehicle location
370346,frequency domain
370701,tie-in
370874,lã©vy flight
371942,polyvinylidene fluoride
372266,long-term potentiation
372464,wire loop game
372836,great power
374215,programmed cell death
374220,inverse trigonometric functions
374448,automatic test pattern generation
375767,semi-automatic firearm
377250,grumman llv
378838,m1918 browning automatic rifle
378914,speed reading
379241,schmitt trigger
379823,rock-climbing equipment
380541,skeletal muscle
381782,numpy
381937,tabu search
382250,lexicostatistics
382683,landing gear
382890,coccolith
382945,soursop
384788,open sound control
385523,tomography
386100,microscope slide
386214,wallpaper group
386519,history of computing
387512,dye laser
387545,anycast
390214,graphics processing unit
390883,electric locomotive
391267,positron emission
391921,air mobility command
392124,external data representation
393061,speleothem
393460,metaprogramming
393519,voltage divider
395196,variable-message sign
396022,euler equations (fluid dynamics)
396056,wire recording
396968,motion capture
397263,truss
397763,near-field communication
398404,lucas number
398459,intellectual giftedness
398786,multidimensional scaling
399799,somersault
399843,distributed shared memory
400414,usb flash drive
400457,database transaction schedule
401135,nmap
402178,thyratron
403165,maximum flow problem
405614,peeler
405742,web feature service
405919,mobile data terminal
406418,levenshtein distance
406427,edit distance
406624,time series
407241,grip (occupation)
407749,retinal scan
408007,comptometer
408243,list of laser types
408354,taxicab geometry
409529,spontaneous fission
410016,mac os x jaguar
410443,ansel
410851,kegel exercise
411782,staining
412531,sphygmomanometer
416612,cross-validation (statistics)
417914,vertical service code
417976,remote terminal unit
418030,powerbook duo
418292,strain gauge
418544,screen reader
419094,adipose tissue
419259,survival analysis
419615,power cord
420159,item response theory
420361,radioactive tracer
420764,integrated pest management
420787,pro tools
422994,digital object identifier
423413,highways in poland
423476,ring tone text transfer language
423689,curses (programming library)
425379,earwax
425779,compression (physics)
428085,electrospray ionization
428795,check valve
430014,fused quartz
430476,terminology
430493,woodbury matrix identity
433897,salvia sclarea
436414,lectin
436418,compressed-air energy storage
436714,vertical-cavity surface-emitting laser
437276,effect size
439355,windows management instrumentation
439526,cryptographic hash function
439998,nike air force
440789,gyrator
441504,bell mobility
442031,plasticine
442656,software suite
444349,extracorporeal membrane oxygenation
444704,diac
